name,country,lat,lng,gem,description,mineType,status
Cullinan Mine,Südafrika,-25.6703,28.5231,Diamond,Heimat des größten Diamanten der Welt,open-pit,active
Jwaneng Mine,Südafrika,-24.5,24.7,Diamond,Eine der produktivsten Diamantminen,open-pit,active
Venetia Mine,Südafrika,-22.4,29.3,Diamond,Moderne Diamantmine,open-pit,active
Finsch Mine,Südafrika,-28.2,23.1,Diamond,Historische Diamantmine,underground,active
Somerset West,Südafrika,-34.1,18.8,Emerald,Smaragd-Vorkommen,primary,active
Northern Cape,Südafrika,-29,22,Garnet,Granat-Lagerstätte,primary,active
Kuruman,Südafrika,-27.5,23.4,Tourmaline,Turmalin-Vorkommen,primary,active
Steinkopf,Südafrika,-29.3,17.7,Tourmaline,Turmalin-Lagerstätte,primary,active
Mogok Valley,Myanmar,22.9167,96.5167,Ruby,Berühmt für die feinsten Rubine der Welt,primary,active
Mong Hsu,Myanmar,20.5,97,Ruby,Moderne Rubin-Mine,underground,active
Namya,Myanmar,24,97,Sapphire,Saphir-Vorkommen,alluvial,active
Kachin State,Myanmar,26,97.5,Jade,Jade-Lagerstätte,primary,active
Muzo,Kolumbien,5.5,-74,Emerald,Berühmte Smaragd-Mine,underground,active
Chivor,Kolumbien,5,-73.5,Emerald,Historische Smaragd-Mine,underground,active
Argyle Mine,Australien,-18,128,Diamond,Berühmte Diamant-Mine,open-pit,depleted
Ural Mountains,Russland,60,60,Emerald,Smaragd-Vorkommen im Ural,primary,active
Bohemia,Tschechien,50,15,Garnet,Granat-Lagerstätte,primary,active
Karamoja,Uganda,2,34,Emerald,Smaragd-Vorkommen in Karamoja,primary,active
Kampala Region,Uganda,0.3,32.6,Garnet,Granat-Lagerstätte,primary,active
Minas Gerais,Brasilien,-19,-43,Emerald,Smaragd-Vorkommen,primary,active
Bahia,Brasilien,-12,-38,Diamond,Diamant-Vorkommen,alluvial,active
